0	0.000998
0.01	0.000999
0.02	0.001
0.03	0.001
0.04	0.001001
0.05	0.001001
0.06	0.001002
0.07	0.001002
0.08	0.001002
0.09	0.001003
0.1	0.001003
0.11	0.001003
0.12	0.001003
0.13	0.001003
0.14	0.001003
0.15	0.001003
0.16	0.001003
0.17	0.001003
0.18	0.001003
0.19	0.001003
0.2	0.001003
0.21	0.001003
0.22	0.001003
0.23	0.001002
0.24	0.001002
0.25	0.001001
0.26	0.001001
0.27	0.001001
0.28	0.001002
0.29	0.001003
0.3	0.001005
0.31	0.001007
0.32	0.001008
0.33	0.001009
0.34	0.001008
0.35	0.001007
0.36	0.001005
0.37	0.001002
0.38	0.000999
0.39	0.000995
0.4	0.000991
0.41	0.000986
0.42	0.000982
0.43	0.000981
0.44	0.000983
0.45	0.00099
0.46	0.001002
0.47	0.001019
0.48	0.001036
0.49	0.001049
0.5	0.00105
0.51	0.001035
0.52	0.001002
0.53	0.000953
0.54	0.000894
0.55	0.000839
0.56	0.000807
0.57	0.000811
0.58	0.000854
0.59	0.000924
0.6	0.001005
0.61	0.001077
0.62	0.001132
0.63	0.001171
0.64	0.001201
0.65	0.001236
0.66	0.001285
0.67	0.001352
0.68	0.001425
0.69	0.001479
0.7	0.001492
0.71	0.001459
0.72	0.001392
0.73	0.001314
0.74	0.001248
0.75	0.00121
0.76	0.001201
0.77	0.001207
0.78	0.001199
0.79	0.001145
0.8	0.001028
0.81	0.000839
0.82	0.000586
0.83	0.000282
0.84	-0.000045
0.85	-0.00036
0.86	-0.000631
0.87	-0.000852
0.88	-0.001046
0.89	-0.001257
0.9	-0.001529
0.91	-0.001887
0.92	-0.002305
0.93	-0.002711
0.94	-0.003023
0.95	-0.003181
0.96	-0.003168
0.97	-0.003006
0.98	-0.002742
0.99	-0.002434
1	-0.002158
1.01	-0.002007
1.02	-0.002059
1.03	-0.002352
1.04	-0.002871
1.05	-0.003567
1.06	-0.004376
1.07	-0.005244
1.08	-0.006138
1.09	-0.007046
1.1	-0.007942
1.11	-0.008752
1.12	-0.00938
1.13	-0.009757
1.14	-0.009839
1.15	-0.0096
1.16	-0.009051
1.17	-0.00829
1.18	-0.007463
1.19	-0.006631
1.2	-0.005599
1.21	-0.003999
1.22	-0.001481
1.23	0.002105
1.24	0.006442
1.25	0.010731
1.26	0.014052
1.27	0.015743
1.28	0.015608
1.29	0.013899
1.3	0.011151
1.31	0.007973
1.32	0.004874
1.33	0.002152
1.34	-0.000138
1.35	-0.002129
1.36	-0.004047
1.37	-0.006111
1.38	-0.008466
1.39	-0.011183
1.4	-0.014298
1.41	-0.017822
1.42	-0.021734
1.43	-0.025988
1.44	-0.030527
1.45	-0.035296
1.46	-0.040242
1.47	-0.04511
1.48	-0.049238
1.49	-0.051815
1.5	-0.052261
1.51	-0.05045
1.52	-0.046764
1.53	-0.042141
1.54	-0.037823
1.55	-0.034872
1.56	-0.03377
1.57	-0.03433
1.58	-0.035908
1.59	-0.037735
1.6	-0.039293
1.61	-0.040537
1.62	-0.041796
1.63	-0.043515
1.64	-0.045971
1.65	-0.048226
1.66	-0.047222
1.67	-0.03906
1.68	-0.02088
1.69	0.007422
1.7	0.041816
1.71	0.075572
1.72	0.102277
1.73	0.118155
1.74	0.122866
1.75	0.11891
1.76	0.110235
1.77	0.100769
1.78	0.093505
1.79	0.09002
1.8	0.090407
1.81	0.093644
1.82	0.098208
1.83	0.102694
1.84	0.106187
1.85	0.10815
1.86	0.108136
1.87	0.105858
1.88	0.101329
1.89	0.094871
1.9	0.087004
1.91	0.078288
1.92	0.069172
1.93	0.059828
1.94	0.050091
1.95	0.039617
1.96	0.028104
1.97	0.015427
1.98	0.001676
1.99	-0.012909
2	-0.028033
2.01	-0.043436
2.02	-0.05896
2.03	-0.07456
2.04	-0.090278
2.05	-0.106194
2.06	-0.122392
2.07	-0.138926
2.08	-0.155808
2.09	-0.173008
2.1	-0.190314
2.11	-0.207209
2.12	-0.223084
2.13	-0.237537
2.14	-0.250518
2.15	-0.262221
2.16	-0.272229
2.17	-0.279036
2.18	-0.280795
2.19	-0.275483
2.2	-0.260486
2.21	-0.230097
2.22	-0.174622
2.23	-0.090513
2.24	0.010981
2.25	0.109161
2.26	0.184083
2.27	0.224107
2.28	0.228424
2.29	0.205118
2.3	0.166733
2.31	0.125518
2.32	0.089999
2.33	0.063667
2.34	0.04576
2.35	0.033067
2.36	0.021754
2.37	0.008794
2.38	-0.0073
2.39	-0.026446
2.4	-0.047494
2.41	-0.068927
2.42	-0.089491
2.43	-0.108554
2.44	-0.126153
2.45	-0.1414
2.46	-0.145587
2.47	-0.122508
2.48	-0.062914
2.49	0.02415
2.5	0.116607
2.51	0.190947
2.52	0.231514
2.53	0.234408
2.54	0.20622
2.55	0.159583
2.56	0.107909
2.57	0.061279
2.58	0.024751
2.59	0.001292
2.6	-0.004778
2.61	0.010626
2.62	0.047054
2.63	0.096273
2.64	0.145477
2.65	0.182932
2.66	0.201993
2.67	0.202249
2.68	0.188221
2.69	0.166779
2.7	0.144485
2.71	0.125749
2.72	0.112193
2.73	0.10304
2.74	0.09615
2.75	0.089166
2.76	0.080386
2.77	0.069159
2.78	0.055814
2.79	0.041287
2.8	0.026642
2.81	0.012694
2.82	0.000094
2.83	-0.009693
2.84	-0.014438
2.85	-0.012304
2.86	-0.002745
2.87	0.013321
2.88	0.033923
2.89	0.05623
2.9	0.076371
2.91	0.090533
2.92	0.096402
2.93	0.093812
2.94	0.084469
2.95	0.071092
2.96	0.056401
2.97	0.042312
2.98	0.029608
